srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,class,label
10.0.0.3,39145,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,12,1142,5603,1889,12,1141,5477,2125,11441,11441,11441,11441,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39146,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,18,2329,8693,3338,19,2325,8622,3683,23314,23314,23314,23314,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39147,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,2887,13155,4597,11,2886,13141,5396,28895,28895,28895,28895,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39148,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,13,1462,6536,2241,13,1461,10455,3267,14634,14634,14634,14634,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39149,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,8,23987,102963,41227,33,28779,139784,62065,143944,143944,143944,143944,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,39150,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,13,813,3714,1213,13,808,3692,1356,8145,8145,8145,8145,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39151,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,13,18845,71184,29597,31,22614,109337,48491,113090,113090,113090,113090,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,39152,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,18,764,2348,995,17,763,3425,1250,7658,7658,7658,7658,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39153,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,7,1224,3247,1216,44,1231,4073,1649,6177,6177,6177,6177,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39154,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,7,22007,87278,35225,31,26408,125815,55610,132065,132065,132065,132065,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,39155,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1764,4794,1833,79,1764,4963,2096,8841,8841,8841,8841,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39156,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,9,1360,2663,984,66,1358,2862,1409,6815,6815,6815,6815,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39157,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,13,1659,2945,1270,51,1659,4063,1835,8312,8312,8312,8312,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39158,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,652,3005,989,12,651,4015,1280,6536,6536,6536,6536,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39159,10.0.0.2,80,6,12,738,11,3031,52,61,158,30,52,275,2348,687,11,14196,113049,34610,11,15616,150500,47413,156178,156178,156178,156178,0,0,0,0,0,12,738,11,3031,1,7,0,0,632,580,0,1
10.0.0.3,39160,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,930,3347,1356,11,929,4462,1617,9315,9315,9315,9315,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39161,10.0.0.2,80,6,9,582,9,2927,52,64,158,35,52,325,2348,759,19,880,2168,776,23,879,3283,1105,7053,7053,7053,7053,0,0,0,0,0,9,582,9,2927,1,5,0,0,476,476,0,1
10.0.0.3,39162,10.0.0.2,80,6,12,738,11,3031,52,61,158,30,52,275,2348,687,11,12762,96508,30131,11,14039,135851,42812,140410,140410,140410,140410,0,0,0,0,0,12,738,11,3031,1,7,0,0,632,580,0,1
10.0.0.3,39163,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,16,1459,6193,2210,15,1459,6173,2439,14612,14612,14612,14612,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39164,10.0.0.2,80,6,7,478,7,2823,52,68,158,39,52,403,1500,606,21,1463,4681,1712,71,1462,3337,1372,8796,8796,8796,8796,0,0,0,0,0,7,478,7,2823,1,2,0,0,372,372,0,1
10.0.0.3,39165,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,11,1620,2884,1229,33,1619,4025,1803,8116,8116,8116,8116,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39166,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,9,26572,109897,44185,36,31887,153833,68193,159459,159459,159459,159459,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,39167,10.0.0.2,80,6,9,582,9,2927,52,64,158,35,52,325,2348,759,24,1001,3704,1297,23,1002,3695,1458,8037,8037,8037,8037,0,0,0,0,0,9,582,9,2927,1,5,0,0,476,476,0,1
10.0.0.3,39168,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,12,1308,2508,935,31,1307,2759,1361,6556,6556,6556,6556,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39169,10.0.0.2,80,6,12,738,11,3031,52,61,158,30,52,275,2348,687,20,9616,55993,19238,20,10578,95201,29809,105801,105801,105801,105801,0,0,0,0,0,12,738,11,3031,1,7,0,0,632,580,0,1
10.0.0.3,39170,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,10,1138,2626,953,31,1137,3587,1446,5703,5703,5703,5703,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39171,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1341,2416,902,62,1341,2997,1379,6722,6722,6722,6722,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39172,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,13,21343,85180,34228,54,25611,121651,53730,128081,128081,128081,128081,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,39173,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,771,3112,1132,11,775,3276,1329,7772,7772,7772,7772,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39174,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1366,2338,896,33,1357,3048,1382,6844,6844,6844,6844,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39175,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,13,904,3376,1351,15,903,4492,1624,9056,9056,9056,9056,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39176,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,9,27213,120638,48015,31,32655,158301,70255,163297,163297,163297,163297,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,39177,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,975,5930,1847,11,975,5886,1924,9769,9769,9769,9769,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39178,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,10,1364,2486,982,30,1355,3074,1431,6835,6835,6835,6835,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39179,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,7,22138,91941,37040,35,26566,128731,57122,132853,132853,132853,132853,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,39180,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,13,778,3923,1259,15,777,3899,1368,7796,7796,7796,7796,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39181,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,7,1482,4096,1541,41,1481,5037,2058,7424,7424,7424,7424,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39182,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,21,963,3651,1338,22,962,5499,1805,9642,9642,9642,9642,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,39183,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,7,24017,101065,40636,31,28820,139894,62104,144124,144124,144124,144124,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,39184,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,12,1330,2733,1011,31,1329,2919,1384,6664,6664,6664,6664,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39185,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,7,1370,2633,1001,34,1362,2884,1395,6866,6866,6866,6866,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,39186,10.0.0.2,80,6,12,738,11,3031,52,61,158,30,52,275,2348,687,12,11230,78320,24842,12,12353,115754,36365,123556,123556,123556,123556,0,0,0,0,0,12,738,11,3031,1,7,0,0,632,580,0,1
10.0.0.3,39187,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,9,1082,1756,701,32,1081,2576,1099,5424,5424,5424,5424,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
